RefDes,Layer,LocationX,LocationY,Rotation
27-L1,Bottom,2.125,8.450,90
27-LED1,Top,2.400,8.100,90
27-R1,Bottom,2.275,8.325,180
27-R2,Bottom,2.850,8.825,270
27-R3,Bottom,2.225,8.625,90
27-R4,Bottom,2.325,8.625,270
27-R5,Bottom,2.975,8.350,90
27-R6,Bottom,2.975,8.200,90
27-R7,Bottom,2.312,8.175,0
27-SW1,Top,2.200,8.075,0
27-SW2,Top,2.600,8.075,0
27-SW3,Top,3.000,8.075,0
27-U1,Top,2.600,8.730,0
27-U2,Bottom,2.275,8.450,180
27-U3,Bottom,2.600,8.338,180
27-U4,Bottom,2.975,8.537,0
28-C1,Bottom,3.775,8.250,180
28-C2,Bottom,3.850,8.950,90
28-C3,Bottom,3.775,8.725,180
28-C4,Bottom,3.775,8.800,180
28-C5,Bottom,4.475,8.675,0
28-C6,Bottom,4.363,8.237,180
28-D1,Bottom,3.625,8.675,270
28-F1,Top,3.775,8.275,0
28-F2,Top,4.350,9.050,0
28-F3,Bottom,4.350,9.050,0
28-F4,Bottom,3.700,8.075,0
28-JP1,Bottom,3.625,8.250,270
28-JP2,Bottom,4.100,8.825,0
28-L1,Bottom,3.625,8.450,90
28-LED1,Top,3.900,8.100,90
28-R1,Bottom,3.775,8.325,180
28-R2,Bottom,4.350,8.825,270
28-R3,Bottom,3.725,8.625,90
28-R4,Bottom,3.825,8.625,270
28-R5,Bottom,4.475,8.350,90
28-R6,Bottom,4.475,8.200,90
28-R7,Bottom,3.812,8.175,0
28-SW1,Top,3.700,8.075,0
28-SW2,Top,4.100,8.075,0
28-SW3,Top,4.500,8.075,0
28-U1,Top,4.100,8.730,0
28-U2,Bottom,3.775,8.450,180
28-U3,Bottom,4.100,8.338,180
28-U4,Bottom,4.475,8.537,0
29-C1,Bottom,5.275,8.250,180
29-C2,Bottom,5.350,8.950,90
29-C3,Bottom,5.275,8.725,180
29-C4,Bottom,5.275,8.800,180
29-C5,Bottom,5.975,8.675,0
29-C6,Bottom,5.863,8.237,180
29-D1,Bottom,5.125,8.675,270
29-F1,Top,5.275,8.275,0
29-F2,Top,5.850,9.050,0
29-F3,Bottom,5.850,9.050,0
29-F4,Bottom,5.200,8.075,0
29-JP1,Bottom,5.125,8.250,270
29-JP2,Bottom,5.600,8.825,0
29-L1,Bottom,5.125,8.450,90
29-LED1,Top,5.400,8.100,90
29-R1,Bottom,5.275,8.325,180
29-R2,Bottom,5.850,8.825,270
29-R3,Bottom,5.225,8.625,90
29-R4,Bottom,5.325,8.625,270
29-R5,Bottom,5.975,8.350,90
29-R6,Bottom,5.975,8.200,90
29-R7,Bottom,5.312,8.175,0
29-SW1,Top,5.200,8.075,0
29-SW2,Top,5.600,8.075,0
29-SW3,Top,6.000,8.075,0
29-U1,Top,5.600,8.730,0
29-U2,Bottom,5.275,8.450,180
29-U3,Bottom,5.600,8.338,180
29-U4,Bottom,5.975,8.537,0
30-C1,Bottom,6.775,8.250,180
30-C2,Bottom,6.850,8.950,90
30-C3,Bottom,6.775,8.725,180
30-C4,Bottom,6.775,8.800,180
30-C5,Bottom,7.475,8.675,0
30-C6,Bottom,7.363,8.237,180
30-D1,Bottom,6.625,8.675,270
30-F1,Top,6.775,8.275,0
30-F2,Top,7.350,9.050,0
30-F3,Bottom,7.350,9.050,0
30-F4,Bottom,6.700,8.075,0
30-JP1,Bottom,6.625,8.250,270
30-JP2,Bottom,7.100,8.825,0
30-L1,Bottom,6.625,8.450,90
30-LED1,Top,6.900,8.100,90
30-R1,Bottom,6.775,8.325,180
30-R2,Bottom,7.350,8.825,270
30-R3,Bottom,6.725,8.625,90
30-R4,Bottom,6.825,8.625,270
30-R5,Bottom,7.475,8.350,90
30-R6,Bottom,7.475,8.200,90
30-R7,Bottom,6.812,8.175,0
30-SW1,Top,6.700,8.075,0
30-SW2,Top,7.100,8.075,0
30-SW3,Top,7.500,8.075,0
30-U1,Top,7.100,8.730,0
30-U2,Bottom,6.775,8.450,180
30-U3,Bottom,7.100,8.338,180
30-U4,Bottom,7.475,8.537,0
31-C1,Bottom,8.588,9.069,180
31-C2,Bottom,9.081,8.625,180
31-C3,Top,8.944,8.562,0
31-C4,Top,8.350,8.500,270
31-D1,Bottom,8.875,8.925,180
31-F1,Bottom,8.850,9.100,0
31-F2,Bottom,8.100,8.294,0
31-F3,Top,8.100,8.294,0
31-F4,Top,8.744,8.762,0
31-JP1,Bottom,8.600,8.825,0
31-LED1,Top,8.588,9.075,270
31-R1,Top,8.437,9.075,180
31-R3,Bottom,8.825,8.087,180
31-R4,Bottom,8.400,8.087,180
31-R12,Bottom,8.406,9.075,0
31-R13,Bottom,8.075,8.550,90
31-SJ1,Top,8.088,8.381,90
31-SJ2,Bottom,8.650,8.087,180
31-SJ3,Bottom,8.200,8.075,180
31-U1,Top,8.200,8.463,90
31-U2,Top,8.600,8.575,0
31-U3,Top,8.225,8.950,270
32-C1,Bottom,10.088,9.069,180
32-C2,Bottom,10.581,8.625,180
32-C3,Top,10.444,8.562,0
32-C4,Top,9.850,8.500,270
32-D1,Bottom,10.375,8.925,180
32-F1,Bottom,10.350,9.100,0
32-F2,Bottom,9.600,8.294,0
32-F3,Top,9.600,8.294,0
32-F4,Top,10.244,8.762,0
32-JP1,Bottom,10.100,8.825,0
32-LED1,Top,10.088,9.075,270
32-R1,Top,9.937,9.075,180
32-R3,Bottom,10.325,8.087,180
32-R4,Bottom,9.900,8.087,180
32-R12,Bottom,9.906,9.075,0
32-R13,Bottom,9.575,8.550,90
32-SJ1,Top,9.588,8.381,90
32-SJ2,Bottom,10.150,8.087,180
32-SJ3,Bottom,9.700,8.075,180
32-U1,Top,9.700,8.463,90
32-U2,Top,10.100,8.575,0
32-U3,Top,9.725,8.950,270
33-C1,Bottom,11.588,9.069,180
33-C2,Bottom,12.081,8.625,180
33-C3,Top,11.944,8.562,0
33-C4,Top,11.350,8.500,270
33-D1,Bottom,11.875,8.925,180
33-F1,Bottom,11.850,9.100,0
33-F2,Bottom,11.100,8.294,0
33-F3,Top,11.100,8.294,0
33-F4,Top,11.744,8.762,0
33-JP1,Bottom,11.600,8.825,0
33-LED1,Top,11.588,9.075,270
33-R1,Top,11.437,9.075,180
33-R3,Bottom,11.825,8.087,180
33-R4,Bottom,11.400,8.087,180
33-R12,Bottom,11.406,9.075,0
33-R13,Bottom,11.075,8.550,90
33-SJ1,Top,11.088,8.381,90
33-SJ2,Bottom,11.650,8.087,180
33-SJ3,Bottom,11.200,8.075,180
33-U1,Top,11.200,8.463,90
33-U2,Top,11.600,8.575,0
33-U3,Top,11.225,8.950,270
34-C1,Bottom,13.088,9.069,180
34-C2,Bottom,13.581,8.625,180
34-C3,Top,13.444,8.562,0
34-C4,Top,12.850,8.500,270
34-D1,Bottom,13.375,8.925,180
34-F1,Bottom,13.350,9.100,0
34-F2,Bottom,12.600,8.294,0
34-F3,Top,12.600,8.294,0
34-F4,Top,13.244,8.762,0
34-JP1,Bottom,13.100,8.825,0
34-LED1,Top,13.088,9.075,270
